NOME,DESCRIZIONE,ENGLISH DESCRIPTION,CATEGORIA,LATITUDINE (es. 46.281419),LONGITUDINE (es. 11.523885),VIA,CAP,LOCALITA'/CITTA',CONTATTO NOME,CONTATTO TELEFONO,CONTATTO EMAIL,CONTATTO FAX,CONTATTO URL,ORARI,SERVIZI,PREZZI (camera singola mezza pensione),TAG 1,TAG 2,TAG 3,TAG 4,TAG AGGIUNTIVI,CAPIENZA (letti),STORIA,CURIOSITA',COME ARRIVARE,ACCESSIBILITA'
Grand Hotel Trento ****,"Grand Hotel Trento: il calore della tradizione e dell’ospitalità trentine, lo stile e l’eleganza di un’atmosfera fin-de-siècle, e l’efficienza della tecnologia in uno dei centri storici più spettacolari d’Italia. Il nostro concetto di ospitalità si declina, sotto la direzione del Grand Hotel, in quattro realtà indipendenti e coordinate al tempo stesso: il Ristorante Clesio, il Caffè Metrò, il Centro Congressi e il Wellness Centre Beauty&Mind – per rispondere ad ogni vostra esigenza in modo semplice ed elegante.","The Grand Hotel Trento: the warmth of tradition and Trentino hospitality, the style and elegance of a fin-de-siècle atmosphere, and the efficiency of modern technology all in one of the most spectacular historical city centres in Italy. Our concept of hospitality is expressed in four independent but coordinated realities: the Clesio Restaurant, the Caffè Metro, the Congress Centre and the Beauty&Mind Wellness Centre – in order to give you all that you need with simplicity and elegance. The Grand Hotel Trento: the warmth of tradition and Trentino hospitality, the style and elegance of a fin-de-siècle atmosphere, and the efficiency of modern technology all in one of the most spectacular historical city centres in Italy. Our concept of hospitality is expressed in four independent but coordinated realities: the Clesio Restaurant, the Caffè Metro, the Congress Centre and the Beauty&Mind Wellness Centre – in order to give you all that you need with simplicity and elegance. The Grand Hotel Trento: the warmth of tradition and Trentino hospitality, the style and elegance of a fin-de-siècle atmosphere, and the efficiency of modern technology all in one of the most spectacular historical city centres in Italy. Our concept of hospitality is expressed in four independent but coordinated realities: the Clesio Restaurant, the Caffè Metro, the Congress Centre and the Beauty&Mind Wellness Centre – in order to give you all that you need with simplicity and elegance. ",Hotel,46.071057,11.121219,"Via Alfieri, 1/3",38122,Trento,,+39 0461 271000,reservation@grandhoteltrento.com,+39 0461 271001,www.grandhoteltrento.com,,,89/180 (con prima colazione),,,,,Dormire,272,,,,
Best Western ****,"Il BEST WESTERN Quid Hotel Trento è un hotel 4 stelle che offre un’atmosfera rilassante, elegante e dotata di attrezzature hi-tech a basso impatto ambientale. I servizi sono personalizzati così da assicurare a ciascuno dei nostri ospiti una soddisfazione totale, ed includonoconnessione Wi-fi gratuita sia nell’area dell’hotel che in quella del ristorante Mover. A disposizione per chi si sposta per affari la nostra Sala Meeting modulare con una capienza di 60 posti.","The BEST WESTERN Quid hotel Trento is a 4 star Hotel that proudly offers relaxed, stylish and high tech facilities that are also environmentally friendly. Services are tailored to ensure all our guests are satisfied and include free Wi-fi throughout both the hotel and the Mover restaurant.The BEST WESTERN Quid hotel Trento is a 4 star Hotel that proudly offers relaxed, stylish and high tech facilities that are also environmentally friendly. Services are tailored to ensure all our guests are satisfied and include free Wi-fi throughout both the hotel and the Mover restaurant.The BEST WESTERN Quid hotel Trento is a 4 star Hotel that proudly offers relaxed, stylish and high tech facilities that are also environmentally friendly. Services are tailored to ensure all our guests are satisfied and include free Wi-fi throughout both the hotel and the Mover restaurant.",Hotel,46.111387,11.092597,"Via Innsbruck, 11",38121,Trento,,+39 0461 966811,info@quidhoteltrento.com,+39 0461 991964,www.quidhoteltrento.com,,,70/160 (con prima colazione),,,,,Dormire,200,,,,
Relais Vecchio Maso ****,"Grande amore e rispetto per l'arte e la tradizione trentina hanno spinto la famiglia Nicolodi a realizzare un vero gioiello di ospitalità, sulle pendici del Monte Bondone, nelle immediate vicinanze della città di Trento. Esclusivo e ricco di personalità, Relais Vecchio Maso è stato costruito seguendo fedelmente l'impronta delle antiche dimore contadine del luogo. Per quanto possibile si è infatti cercato di utilizzare materiale di recupero o materiali caratteristici della nostra regione. Per costruire il tetto del Relais si sono sfruttati i vecchi coppi del paese di Sopramonte, le lastre di ardesia di Pergine Valsugana e i camini in ferro delle vecchie case del centro storico di Trento. Stessa provenienza hanno le travi utilizzate, prese da strutture portanti di case del capoluogo trentino risalenti ai primi ‘500. Finestre e balconi sono stati realizzati in larice, un legno che per eccellenza rappresenta la nostra regione e disegnati per assicurare ad ogni sala un'ampia luminosità.","It is the love for art and tradition of Trento's region that drove the Nicolodi Family to undertake and build a jewel of hospitality, right on the slopes of Monte Bondone on the outskirt of the city of Trento. Secluded and faithful to its personality,"" Relais Vecchio-Maso"" was built following the design of houses of the surrouding citizens. In fact, a lot of the material used for the constructions are artifacts or antiques found in the region. The roof is made of recycled tiles found in Sopramonte, the slabs of slate where found in Pergine Valsugana and the steel chimneys are from different old houses located around the historic quarter of Trento. The wooden beams were also found there and most of them were supporting frames of ancient houses built in the 15th century. Balconies and windows are build in larch, a wood that is found in abundance in Trentino, it represents the region and gives each room an amplified natural lighting.",Hotel,46.068303,11.056526,"Str. Monastero S. Anna, 2",38123,Sopramonte,,+39 0461 1922000,info@vecchio-maso.it,+39 0461 1922001,www.vecchio-maso.it,,,75/120 (con prima colazione),,,,,Dormire,47,,,,
Relais Villa Madruzzo ****,"Sulla collina di Trento, Villa Madruzzo offre ai propri clienti tutti i comfort di un moderno albergo, nella quiete e nella tranquillità di una residenza immersa nel verde. L'Hotel Villa Madruzzo dispone di 80 camere con vista sul parco dell'hotel e sulla città di Trento. Tutte le camere sono dotate dei principali comfort quali tv satellite, telefono, cassaforte, phon, hanno ampi e comodi letti e WI-FI gratuito. Dispone inoltre di ampio parcheggio privato e sala congressi. L'Hotel Villa Madruzzo è anche ristorante, rinomato a Trento per la qualità della cucina, sia tradizionale sia tipica. I vini serviti sono tra i migliori a livello locale e nazionale. ","Villa Madruzzo is located on the hill of Trento and offers all comforts on a modern hotel in a quiet and peaceful residence surrounded by the nature. It disposes of 80 bedrooms, the view is on the park of the hotel or on the town of Trento. All rooms are equipped with the main comforts, such as satellite TV, phone, safe, hairdryer, large and comfortable beds and free wi-fi. It disposes of a large private parking and congress centre. The Hotel Villa Madruzzo is also a restaurant and is well known in Trento because of the quality of the food, which is both traditional and typical. Wines served are among the best ones on a local and national level.",Hotel,46.074083,11.146586,"Via Ponte Alto, 20",38121,Trento,,+39 0461 986220,info@villamadruzzo.it,+39 0461 986361,www.villamadruzzo.it,,,70/75,,,,,Dormire,120,,,,
Sartori’s ****,"Il nuovissimo Sartori's Hotel situato a pochi minuti da Trento. L´Hotel è un quattro stelle in grado di proporsi con stile, eleganza e raffinatezza; in un atmosfera intima e discreta. L´albergo dispone di 40 camere, di cui 4 suites, tutte dotate del massimo confort: ascensori, telefono diretto, TV Sat, internet gratuito. Il Sartori´s Hotel dispone di 3 sale Meeting.","The very new Sartori's Hotel is just a few minutes from the town centre of Trento. It offers a warm and elegant atmosphere. The 40 rooms are elegant and comfortable, furnished with all comforts. Realized with extreme care, as result of matchless experience, they reflect perfectly Sartoris style and elegance.",Hotel,46.142265,11.103669,"Via Nazionale, 33",38015,Lavis,,+39 0461 246563,info@sartorishotel.com,+39 0461 240161,www.sartorishotel.com,,,71/98,,,,,Dormire,80,,,,
Albermonaco ***?,"Albermonaco, Business Hotel Bed & Breakfast a Trento. Ideale per i tuoi viaggi di lavoro, vacanze o weekend a Trento. Albermonaco è l'hotel a Trento a due passi dal centro storico, vi offre ilparcheggio gratuito interrato e privato direttamente sotto l'hotel, facilitando gli spostamenti in città a piedi o in bicicletta. Nel nostro B&B trovi le migliori offerte per un soggiorno in Hotel a Trento, in grado di soddisfare qualsiasi vostra esigenza per i tuoi appuntamenti di lavoro e per la visita della città. Su misura per gruppi. Con centro wellness. Albermonaco, Business Hotel Bed & Breakfast a Trento. Ideale per i tuoi viaggi di lavoro, vacanze o weekend a Trento. Albermonaco è l'hotel a Trento a due passi dal centro storico, vi offre ilparcheggio gratuito interrato e privato direttamente sotto l'hotel, facilitando gli spostamenti in città a piedi o in bicicletta. Nel nostro B&B trovi le migliori offerte per un soggiorno in Hotel a Trento, in grado di soddisfare qualsiasi vostra esigenza per i tuoi appuntamenti di lavoro e per la visita della città. Su misura per gruppi. Con centro wellness. Albermonaco, Business Hotel Bed & Breakfast a Trento. Ideale per i tuoi viaggi di lavoro, vacanze o weekend a Trento. Albermonaco è l'hotel a Trento a due passi dal centro storico, vi offre ilparcheggio gratuito interrato e privato direttamente sotto l'hotel, facilitando gli spostamenti in città a piedi o in bicicletta. Nel nostro B&B trovi le migliori offerte per un soggiorno in Hotel a Trento, in grado di soddisfare qualsiasi vostra esigenza per i tuoi appuntamenti di lavoro e per la visita della città. Su misura per gruppi. Con centro wellness. ","Albermonaco, Business Hotel Bed & Breakfast in Trento. Ideal for your business trips, vacations, or weekends in Trento. Albermonaco is the hotel located near the center of Trento that offers free parking and a private basement directly below the hotel, facilitating travel around the city on foot or by bicycle. In our B & B, you will always find the best deals for your stay in Trento. We are able to meet all your needs for your business appointments and visits to the city.",Hotel,46.073100,11.126414,"Via Torre d’Augusto, 25",38122,Trento,,+39 0461 983060,info@albermonaco.com,+39 0461 983681,www.albermonaco.com,,,63/72,,,,,Dormire,92,,,,
Al Marinaio ***,"La nuovissima struttura moderna dispone di 11 stanze doppie, 1 suite e 1 junior-suite arredate in stile minimalista. Stanze ampie (18-23m²) + bagno(5 m²) + ampio balcone (16 m²) con vista panoramica della Valle dell'Adige. Posizione: vicino al Palatrento. Vicina fermata del trasporto pubblico per il centro della città. Posto macchina coperto garage incluso nel prezzo.","The very new and modern building disposes of 11 double rooms, 1 suite room and 1 junior-suite in minimal style arranged. Wide rooms (18-23m²) + bathroom (5 m²) + large balcony (16 m²) with panoramic view on the Valle dell’Adige. Position: close to the Palatrento. Close bus stop of the public transport to the town centre. Car park in the covered garage included.The very new and modern building disposes of 11 double rooms, 1 suite room and 1 junior-suite in minimal style arranged. Wide rooms (18-23m²) + bathroom (5 m²) + large balcony (16 m²) with panoramic view on the Valle dell’Adige. Position: close to the Palatrento. Close bus stop of the public transport to the town centre. Car park in the covered garage included.The very new and modern building disposes of 11 double rooms, 1 suite room and 1 junior-suite in minimal style arranged. Wide rooms (18-23m²) + bathroom (5 m²) + large balcony (16 m²) with panoramic view on the Valle dell’Adige. Position: close to the Palatrento. Close bus stop of the public transport to the town centre. Car park in the covered garage included.",Hotel,46.035116,11.126162,"Via dei Marinai d’Italia, 28",38123,Trento,,+39 0461 933053,info@almarinaio.eu,+39 0461 1728536,www.almarinaio.eu,,,68/80,,,,,Dormire,30,,,,
America ***,"Hotel America, dal 1923 nel cuore di #Trento. Pronti a farvi scoprire le meraviglie della nostra città e del #Trentino Alto Adige e a farvi annusare i profumi della nostra terra. Accoglienza e attenzione al cliente ed ai suoi bisogni sono i punti principali su cui ci basiamo, con camere dotate di tutti i comfort, Wifi gratuito ed alcune camere dotate di doccia idromassaggio. Offriamo, in tavola, proposte tipiche trentine, mediterranee, siamo informati sulla cucina senza glutine ed attenti alle intolleranze alimentari. Vieni a scoprire l'Hotel America, un hotel che ancora oggi è famiglia, ricordi, viaggi, sogni... ","Hotel America, since 1923 in the heart of # Trento. We are here to drive the guest in the discovery of the wonders of our city and Trentino Alto Adige. We have furnished rooms with all amenities, free WiFi, and some rooms with hydromassage shower. We offer cookery of tipical dishes and Mediterranean too; we are informed about food allergies and gluten-free cooking. Come and discover the Hotel America, an hotel, which is still family, memories, travels, dreams ...",Hotel,46.071124,11.124129,"Via Torre Verde, 50",38122,Trento,,+39 0461 983010,info@hotelamerica.it,+39 0461 230603,www.hotelamerica.it,,,74/100,,,,,Dormire,121,,,,
Everest ***,"L'Hotel Everest è situato in posizione centrale e tranquilla e come tale si propone come luogo ideale per un piacevole soggiorno nella bellissima città di Trento, eccellente punto di partenza per visite turistiche e per escursioni in Trentino. L'Hotel Everest è facilmente raggiungibile e  comodo per qualsiasi tipo di spostamento. L'Hotel Everest dispone inoltre di  parcheggio riservato e di garage, nonché di rimessa per biciclette. Il nostro Hotel a tre stelle, gestito dalla Famiglia Sembenotti, dispone di 113 camere completamente rinnovate in stile classico e con i migliori comfort, come i servizi con vasca o doccia, asciugacapelli, telefono diretto, riscaldamento, aria condizionata, cassaforte, TV a led da 26' o 32' con Premium Cinema e Premium Calcio, wireless. Sono inoltre disponibili nel nostro albergo il servizio di lavanderia, bar, sala TV, taverna, area wireless,  sala d'attesa, internet point, garage e noleggio biciclette in Trentino. Particolare attenzione è stata prestata inoltre al fine di offrire ospitalità alle persone disabili.","Situated in a very peaceful but central position, Hotel Everest represents the perfect accommodation for your stay in Trento. Hotel Everest is at the same time a perfect starting point for walking and excursions. Thanks to its position, Hotel Everest is also very easy to reach. Our Hotel also dispose of a private parking area - for guests only -, a garage and of a bicycle parking space. Hotel Everest is a family run 3-star Hotel, managed by the Sembenotti Family. The Hotel dispose of 113 rooms, which have been recently renovated and furnished in a classic style. They all dispose of any comfort, such as bathroom with tub or shower, hair-dryer, telephone, heating/air conditioning, safe, 26' or 32' inch led TV with Premium Cinema and Premium Football channels, sat-tv, as well as wireless internet connection. At Hotel Everest guests will also have a laundry service, bar, tv-room, wireless-internet connection, Internet point, private garage and bike-rental. Particular attention is paid to our disabled guests",Hotel,46.078611,11.118410,"Corso degli Alpini, 14",38121,Trento,,+39 0461 825300,info@hoteleverest.it,+39 0461 824527,www.hoteleverest.it,,,55/75,,,,,Dormire,230,,,,
Karinhall ***,"L' Albergo Karinhall sorge a pochi chilometri da Trento in magnifica posizione panoramica facilmente raggiungibile. E' provvisto di 11 camere dotate di ogni confort e di 3 appartamenti ugualmente confortevoli, garage custodito e ampio parcheggio. La caratteristica principale del complesso è la posizione veramente unica per un'incantevole veduta panoramica su tutta la valle, lo splendido giardino che la circonda .. un posto ideale per momenti di relax, difficili da dimenticare.L' Albergo Karinhall sorge a pochi chilometri da Trento in magnifica posizione panoramica facilmente raggiungibile. E' provvisto di 11 camere dotate di ogni confort e di 3 appartamenti ugualmente confortevoli, garage custodito e ampio parcheggio. La caratteristica principale del complesso è la posizione veramente unica per un'incantevole veduta panoramica su tutta la valle, lo splendido giardino che la circonda .. un posto ideale per momenti di relax, difficili da dimenticare.L' Albergo Karinhall sorge a pochi chilometri da Trento in magnifica posizione panoramica facilmente raggiungibile. E' provvisto di 11 camere dotate di ogni confort e di 3 appartamenti ugualmente confortevoli, garage custodito e ampio parcheggio. La caratteristica principale del complesso è la posizione veramente unica per un'incantevole veduta panoramica su tutta la valle, lo splendido giardino che la circonda .. un posto ideale per momenti di relax, difficili da dimenticare.","Hotel Karinhall is located few kilometers from Trento in a magnificent panoramic place very easy to find. It has 11 comfortable rooms with all facilities and 3 comfortable apartments, a guarded garage and a wide parking place. The main peculiarity of the hotel is the unique location offering an enchanting panoramic view over the valley and a magnificent garden around it ... a special place for your relax, not easy to forget.Hotel Karinhall is located few kilometers from Trento in a magnificent panoramic place very easy to find. It has 11 comfortable rooms with all facilities and 3 comfortable apartments, a guarded garage and a wide parking place. The main peculiarity of the hotel is the unique location offering an enchanting panoramic view over the valley and a magnificent garden around it ... a special place for your relax, not easy to forget.Hotel Karinhall is located few kilometers from Trento in a magnificent panoramic place very easy to find. It has 11 comfortable rooms with all facilities and 3 comfortable apartments, a guarded garage and a wide parking place. The main peculiarity of the hotel is the unique location offering an enchanting panoramic view over the valley and a magnificent garden around it ... a special place for your relax, not easy to forget.",Hotel,45.995601,11.126269,"Loc. I Grezzi, 17",38123,Mattarello,,+39 0461 945339,info@karinhall.it,+39 0461 945276,www.karinhall.it,,,50/65,,,,,Dormire,16,,,,
Sporting Trento ***,"L´Hotel Sporting Trento, sorge in una zona strategica a sud di Trento. . 41 camere, tutte dotate di cabina doccia, asciugacapelli, telefono diretto, TV LCD 20"", minibar e connessione Internet wireless gratuita. Di queste 4 sono per persone diversamente abili, attrezzate con dotazioni domotiche e con il meglio della tecnologia, primi in Italia, dal punto di vista meccanico e psicologico. Luogo ideale per organizzare i vostri incontri di lavoro, meeting e congressi. A disposizione sale polivalenti, da 20 a 200 posti, attrezzate di video proiezione con lettore DVD e VHS, impianto audio, radiomicrofoni, impianto stereo, rete dati, internet Wi-Fi, flip chart. L´ OLYMPIC Restaurant e Pizzeria è un ambiente raffinato ed accogliente che vi conquisterà per la cucina nazionale ed internazionale e per l´abbinamento dei sapori. Un mix che nasce dalla scelta delle materie prima e dalla stagionalità dei nostri piatti che accompagnato ad una fornita carta dei vini completa i nostri servizi","Hotel Sporting Trento give you a kindest welcome in the city of the Council. Ideal point of start for your work, free time, sport and culture experience. The modern Structure is good not only for ""Business man"", thanks to the modern Technologies and to the big congresses rooms, which can house till 180 of People, but also for people who search Cultural and Sport Itinerary, for who would like to stay in Nature, or only for people that ""come and go"", because we are situated nearby the Highway exit of A22 Trento Centro only after 2 Km of bypass. It is a modern building not only for technologies but also for the architecture. It is a half-round with the line looking the Adige river, where's the entry, and the round part looking the bypass. Every details are studied to assure a perfect stay under every point of view. The attention in the furnishings is made by the natural material we used, in the colour porcelain-gres covering, in the multicolour mosaic of the bathroom' floor and walls, and in the beautiful moquette of the room's floor. The Hotel has 41 rooms, double and single and 2 Junior Suites, big outside parking and garage, it is also connected to the city center by public services.",Hotel,46.051187,11.111769,"Via R. da Sanseverino, 125",38123,Trento,,+39 0461 391215,info@hotelsportingtrento.com,+39 0461 392052,www.hotelsportingtrento.com,,,60/85,,,,,Dormire,79,,,,
San Giorgio della Scala ***,"Il Garnì San Giorgio della Scala si trova sulle colline di Trento, immerso nel verde si apre su  un panorama che spazia sull’intera valle dell’Adige. A conduzione familiare, offre un piacevole soggiorno ai propri ospiti che potranno apprezzare la piccola struttura curata nei suoi vari aspetti. Il Garnì ha un ampio parcheggio privato, è dotato di 14 stanze, in gran parte con balcone e tutte dotate di servizi con doccia, televisione con canali satellitari, connessione wi fi gratuita, telefono. I piani sono raggiungibili con ascensore e nel soggiorno mettiamo a disposizione pc per connessione alla rete. La colazione a buffet propone dolci, marmellate e prodotti del territorio. Accogliamo anche animali di piccola taglia.Il Garnì San Giorgio della Scala si trova sulle colline di Trento, immerso nel verde si apre su  un panorama che spazia sull’intera valle dell’Adige. A conduzione familiare, offre un piacevole soggiorno ai propri ospiti che potranno apprezzare la piccola struttura curata nei suoi vari aspetti. Il Garnì ha un ampio parcheggio privato, è dotato di 14 stanze, in gran parte con balcone e tutte dotate di servizi con doccia, televisione con canali satellitari, connessione wi fi gratuita, telefono. I piani sono raggiungibili con ascensore e nel soggiorno mettiamo a disposizione pc per connessione alla rete. La colazione a buffet propone dolci, marmellate e prodotti del territorio. Accogliamo anche animali di piccola taglia.Il Garnì San Giorgio della Scala si trova sulle colline di Trento, immerso nel verde si apre su  un panorama che spazia sull’intera valle dell’Adige. A conduzione familiare, offre un piacevole soggiorno ai propri ospiti che potranno apprezzare la piccola struttura curata nei suoi vari aspetti. Il Garnì ha un ampio parcheggio privato, è dotato di 14 stanze, in gran parte con balcone e tutte dotate di servizi con doccia, televisione con canali satellitari, connessione wi fi gratuita, telefono. I piani sono raggiungibili con ascensore e nel soggiorno mettiamo a disposizione pc per connessione alla rete. La colazione a buffet propone dolci, marmellate e prodotti del territorio. Accogliamo anche animali di piccola taglia.","The B&B San Giorgio della Scala is located between the hills of Trento, in the countryside with a panoramic view overlooking the valley. A family run bussiness, which offers its guests a pleasant stay thanks to a well maintained complex in all its aspects, which is of course very much appreciated by the guests. The Garni has a large parking area, 14 rooms most of them with balcony and all with bathroom and shower, TV with satellite channels, free Wi-Fi, telephone. The floors can be reached through an elevator and in the lounge there's a PC with a internet connection at your disposal. Breakfast buffet is served with pastries, jams and local products. We also accept small pets.The B&B San Giorgio della Scala is located between the hills of Trento, in the countryside with a panoramic view overlooking the valley. A family run bussiness, which offers its guests a pleasant stay thanks to a well maintained complex in all its aspects, which is of course very much appreciated by the guests. The Garni has a large parking area, 14 rooms most of them with balcony and all with bathroom and shower, TV with satellite channels, free Wi-Fi, telephone. The floors can be reached through an elevator and in the lounge there's a PC with a internet connection at your disposal. Breakfast buffet is served with pastries, jams and local products. We also accept small pets.The B&B San Giorgio della Scala is located between the hills of Trento, in the countryside with a panoramic view overlooking the valley. A family run bussiness, which offers its guests a pleasant stay thanks to a well maintained complex in all its aspects, which is of course very much appreciated by the guests. The Garni has a large parking area, 14 rooms most of them with balcony and all with bathroom and shower, TV with satellite channels, free Wi-Fi, telephone. The floors can be reached through an elevator and in the lounge there's a PC with a internet connection at your disposal. Breakfast buffet is served with pastries, jams and local products. We also accept small pets.",Hotel,46.073520,11.103739,"Via Brescia, 133",38122,Trento,,+39 0461 238848,info@garnisangiorgio.it,+39 0461 238808,www.garnisangiorgio.it,,,50/75,,,,,Dormire,28,,,,
Terme San Leonardo ***,"L'Hotel S. Leonardo si trova a Vigolo Baselga Trento in una posizione strategica , a solo sei Km da dal cento città Trento sulla strada che collega Trento a Riva del Garda. Alle pendici del Monte Bondone, una cima che raggiunge la quota di 2098 m s.l.m., ed è una rinomata stazione sciistica invernale. In estate, la conca delle Viote è ricca di attrattive per chi desidera il contatto con la natura: per prendere un bagno di sole, per avventurarsi sui sentieri montani in moutain bike, per cercare funghi... In inverno, l'intera piana delle Viote è percorsa da 5 piste da fondo di varia lunghezza (da 3 a 15 km) e difficoltà. La vicina località Vason è invece una nota stazione sciistica numerosi impianti di risalita.L'Hotel S. Leonardo si trova a Vigolo Baselga Trento in una posizione strategica , a solo sei Km da dal cento città Trento sulla strada che collega Trento a Riva del Garda. Alle pendici del Monte Bondone, una cima che raggiunge la quota di 2098 m s.l.m., ed è una rinomata stazione sciistica invernale. In estate, la conca delle Viote è ricca di attrattive per chi desidera il contatto con la natura: per prendere un bagno di sole, per avventurarsi sui sentieri montani in moutain bike, per cercare funghi... In inverno, l'intera piana delle Viote è percorsa da 5 piste da fondo di varia lunghezza (da 3 a 15 km) e difficoltà. La vicina località Vason è invece una nota stazione sciistica numerosi impianti di risalita.","Hotel S. Leonardo is located at Vigolo Baselga/Trento, in a strategic position, just six Km from the centre of Trento on the road that connects the city with Riva del Garda. Lying on the slopes of Monte Bondone, a peak that reaches 2098 m ASL, it is a popular winter ski resort. In summer, the Conca delle Viote plain has a strong appeal for those seeking contact with nature: for sunbathing, for venturing out along the mountain bike trails or for collecting mushrooms... In winter, the Viote plain is crossed by 5 cross-country skiing trails of varying length (from 3 to 15 km) and difficulty. The nearby locality of Vason is a well known ski resort with numerous ski lifts.Hotel S. Leonardo is located at Vigolo Baselga/Trento, in a strategic position, just six Km from the centre of Trento on the road that connects the city with Riva del Garda. Lying on the slopes of Monte Bondone, a peak that reaches 2098 m ASL, it is a popular winter ski resort. In summer, the Conca delle Viote plain has a strong appeal for those seeking contact with nature: for sunbathing, for venturing out along the mountain bike trails or for collecting mushrooms... In winter, the Viote plain is crossed by 5 cross-country skiing trails of varying length (from 3 to 15 km) and difficulty. The nearby locality of Vason is a well known ski resort with numerous ski lifts.",Hotel,46.080888,11.043555,"Via per Vigolo Baselga, 8",38123,Vigolo Baselga,,+39 0461 866143,info@hotelsanleonardo.it,+39 0461 865488,www.hotelsanleonardo.it,,,40/60,,,,,Dormire,75,,,,
Vela ***,"Situato a circa a 2 km dal centro di Trento, l’Hotel Vela, è una struttura moderna e con tutti i comfort, Internet wi-fi gratuito, parcheggi privati, garage e parcheggio per pullman custodito. Il nostro hotel è dotato di 30 camere ottimamente arredate, con servizi privati, TV satellite, cassaforte, frigo bar, telefono diretto, radio, phon e condizionamento autonomo. Si dispone inoltre di un’ottima pizzeria e ristorante che offre una grande varietà di piatti della cucina Italiana e di quella Trentina.Situato a circa a 2 km dal centro di Trento, l’Hotel Vela, è una struttura moderna e con tutti i comfort, Internet wi-fi gratuito, parcheggi privati, garage e parcheggio per pullman custodito. Il nostro hotel è dotato di 30 camere ottimamente arredate, con servizi privati, TV satellite, cassaforte, frigo bar, telefono diretto, radio, phon e condizionamento autonomo. Si dispone inoltre di un’ottima pizzeria e ristorante che offre una grande varietà di piatti della cucina Italiana e di quella Trentina.","The hotel is located ca. 2 km from the Center of Trento. It’s a modern building with all sort of comforts, free Internet wi-fi, private car park, garage and attended coach parking. Our hotel has 30 best furnished rooms, all with bathroom, satellite-TV, safe, fridge-bar, direct phone, radio, hairdryer and air conditioner. Moreover there are an excellent pizzeria and a restaurant that offer a great choice of Italian and typical dishes from the Trentino.The hotel is located ca. 2 km from the Center of Trento. It’s a modern building with all sort of comforts, free Internet wi-fi, private car park, garage and attended coach parking. Our hotel has 30 best furnished rooms, all with bathroom, satellite-TV, safe, fridge-bar, direct phone, radio, hairdryer and air conditioner. Moreover there are an excellent pizzeria and a restaurant that offer a great choice of Italian and typical dishes from the Trentino.",Hotel,46.081945,11.102854,"Via SS. Cosma e Damiano, 21",38121,Vela (Trento),,+39 0461 827200,info@hotelvela.com,+39 0461 829924,www.hotelvela.com,,,45/55,,,,,Dormire,80,,,,
Villa Fontana ***,"Le 24 camere dell'albergo Villa Fontana sono state arredate all'insegna del comfort, con servizi privati con doccia e phon, televisore (digitale terrestre) con Mediaset Premium (Calcio, Cinema e serie TV) gratuiti, riscaldamento e aria condizionata, cassaforte, telefono e accesso wireless gratuito. Il tutto in uno spazio elegante ed accogliente. I cani sono permessi. Abbiamo un parcheggio privato sotterraneo, sala congressi con una capienza fino a 25 persone. Biciclette sono a disposizione della clientela. L'hotel, come le camere, è piccolo ma confortevole, curato nei dettagli.","According to our Motto “Comfort and good services”, we offer to our guests 24 bedrooms with private bathrooms, heating / air conditioning, TV, telephone, Minibar and wireless Internet connection; everything in an elegant and pleasant atmosphere. From the private underground parking, you can reach directly the spacious and comfortable hall with breakfast room, meeting room and elevator to other floors.",Hotel,46.077346,11.116822,"Via Felice e Gregorio Fontana, 11",38122,Trento,,+39 0461 829800,info@villafontana.it,+39 0461 829759,www.villafontana.it,,,50/70,,,,,Dormire,32,,,,
Venezia **,"E' situato nella suggestiva Piazza del Duomo nel centro storico del capoluogo Trentino, a 500 metri dalla stazione ferroviaria e delle autolinee, a pochi chilometri dal casello autostradale dell’A22 ed in prossimità della Pista ciclabile Valle dell’Adige. L’hotel, a gestione tipicamente famigliare, è aperto tutto l’anno. Dispone di 43 stanze, per una capienza complessiva di 85 posti letto, alcune delle quali godono di un’incantevole affaccio sulla Cattedrale del Duomo e la Fontana del Nettuno.","It is located in the suggestive Piazza del Duomo (Cathedral square), in the historical center of the regional capital of Trentino, just 500 meters from the railway station and bus station, a few Km from the highway A22 and near bike path of the Adige Valley. Hotel Venezia is a typical family business and it’s open all year round. It offers 43 rooms with a total of 85 beds, some of these rooms overlook the wonderful Cathedral of San Vigilio and the Neptune’s Fountain.",Hotel,46.067268,11.121232,"Piazza Duomo, 45",38122,Trento,,+39 0461 234559,info@hotelveneziatn.it,+39 0461 234114,www.hotelveneziatn.it,,,44/58,,,,,Dormire,81,,,,
"Ostello della Gioventù ""Giovane Europa""","L’Ostello della Gioventù “Giovane Europa” è collocato in un edificio completamente ristrutturato, vicinissimo alla stazione ferroviaria ed a quella degli autobus. L’ostello è certificato Ecolabel. Dispone di 32 stanze da 1 a 6 posti letto, tutte dotate di bagno e doccia e telefono.L’Ostello della Gioventù “Giovane Europa” è collocato in un edificio completamente ristrutturato, vicinissimo alla stazione ferroviaria ed a quella degli autobus. L’ostello è certificato Ecolabel. Dispone di 32 stanze da 1 a 6 posti letto, tutte dotate di bagno e doccia e telefono.","Youth Hostel “Giovane Europa” is located in a recently renovated building close to the railway stationa and the bus station. The Hostel is certified Ecolabel. It disposes of 32 bedrooms from 1 to 6 places, all equipped with bathroom, shower and phone.",Hotel,46.069970,11.119194,"Via Torre Vanga, 11",38122,Trento,,+39 0461 263484,,,,,,,,,,,Dormire,,,,,
