N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
73;332;06/04/2000;KOLLMANN AGNESE;no;38020;Rumo;Via Lanza n. 24;50188/97;0463;530276;no;no;agnese.kollmann@pec.agritel.it;;939;;;Rumo;Via Lanza n. 24;MADDALENE;2;3;6;2;0;0;0;3;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;31;27;18;4
74;334;06/07/2000;LEONARDI LIDIA;no;38023;Cles;Viale Degasperi n. 110;189273/96;0463;423261;no;no;AGRITURDEROMEDI@PEC.IT;;658;;;Cles;Viale Degasperi n. 118;DEROMEDI;2;0;5;0;6;12;6;6;17;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;29;16;8;2
75;336;21/07/2000;SEPPI MASSIMO;si;38010;Ruffrè;Maso Coflari n. 9;91904/97;0463;870148- cell.335-434161;no;no;massimo.seppi@pec.agritel.it;;1175;;;Ruffrè;Maso Coflari n. 9;AL RANCH;2;3;5;4;0;0;0;3;5;si;no;si;no;si;36;14;50;1;no;0;0;si;ippoturismo;no;32;32;16;4
76;337;20/09/2000;VETTORI DOMENICO;no;38065;Mori;Via S. Anna;104208/97;0464;802032;no;no;domenico.vettori@pec.agritel.it;;204;;;Mori;Via S. Anna;MASO SPIAZZI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;35;0;35;1;no;0;0;no;;si;16;21;2;2
77;338;12/02/2001;RIBAGA BRUNO;no;38067;Ledro;Via General Cantore n. 15;155576;0464;596007;no;no;bruno.ribaga@pec.agritel.it;;744;;;Ledro;Via Bisti n. 2;AL MARTER;0;0;0;0;7;13;7;7;13;no;si;si;no;si;35;0;35;1;no;0;0;no;;no;34;27;10;3
78;342;31/05/2001;FERRETTI PAOLO;no;38030;Lisignago;Via Malinverni n. 130;172823/01;0461;683167;no;no;no pec;;582;;;Lisignago;Loc. Vig n. 3;AGRITUR AI GREGI;0;0;0;0;5;8;5;5;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;30;35;10;3
79;343;15/06/2001;GIRARDELLI VALTER;no;38066;Riva d/Garda;Via Marone n. 11;24048/98;0464;521520;no;no;valter.girardelli@pec.agritel.it;;73;;;Riva d/Garda;Via Marone n. 15;EDEN MARONE;0;0;0;0;15;27;15;15;27;no;si;si;no;si;33;20;53;1;no;0;0;no;;si;35;33;15;4
80;349;17/12/2001;GIUPPONI CORRADINI MONICA;si;38030;Castello Molina di Fiemme;Via Milano n. 28;172559/01;0462;231010;no;no;monica.giupponi@pec.agritel.it;;960;;;Castello Molina di Fiemme;Via Milano n. 28;MASO CORRADINI;0;0;0;0;8;13;7;8;13;no;si;si;no;si;45;0;45;1;no;0;0;si;;si;44;38;20;5
81;350;17/12/2001;PECORARO GUSTAVO;no;38050;Telve Valsugana;Loc. Maso Tezza;70164/97;0461;766744;no;no;PEC.CLIENTI@ACLITRENTINE.LEGALMAIL.IT;;548;;;Telve Valsugana;Loc. Maso Tezza;MASO TEZZA;2;4;7;3;0;0;0;4;7;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;17;19;8;2
82;351;28/12/2001;ZENI MICHELE;no;38010;Faedo;Via Molini n. 7;174750/01;0461;651088;no;no;no pec;;595;;;Faedo;Via Molini n. 8 (p.ed. 227 alloggio) e (p.ed. 274 ristoro);AI MOLINI;0;0;0;0;5;10;5;5;10;no;si;si;no;si;35;0;35;1;no;0;0;no;;no;31;26;10;3
83;353;31/12/2001;Az. Agricola Agostini Dario, Patrizia e Stefano S.S.;no;38010;Coredo;Via Santuario n. 25 - fraz. Tavon;183702;0463;536454;si;no;AZAGRAGOSTINISS@PEC.IT;;830;;;Coredo;Via Santuario n. 25 - fraz. Tavon;Az. Agricola Agostini di Agostini Dario, Patrizia e Stefano s.s.;0;0;0;0;9;22;9;9;22;no;si;si;no;si;50;10;60;2;no;0;0;si;;no;38;25;17;4
84;354;28/01/2002;DELL'ADAMI de TARCZAL RUGGERO;no;38060;Isera;Via G.B. Miori, 4 - fraz. Marano;123213/97;0464;409134;no;no;DETARCZAL@PEC.IT;;240;;;Isera;Via G. B. Miori n. 4 - fraz. Marano;VINERIA de TARCZAL;0;0;0;0;0;0;0;0;0;no;no;no;no;si;40;0;40;1;no;0;0;no;;no;24;33;12;3
85;355;05/03/2002;BALDO DANILO;no;38123;Romagnano di Trento;Via di Malebis n. 1;212274/96;0461;349204;no;no;AGRITURPRA-SEC@PEC.IT;;200;;;Trento;Via di Malebis n. 1A - Romagnano;PRA-SEC;5;5;13;5;8;16;8;13;29;si;si;si;no;si;20;0;20;1;no;0;0;no;;si;37;28;15;4
86;356;28/03/2002;VANZETTA RUGGERO;si;38030;Ziano di Fiemme;Via Zanon n. 3;172942/01;0462;571463;no;no;MASOVALAVERTA@PEC.IT;agritur@valaverta.com;1003;;;Ziano di Fiemme;Via Prenner n. 11;MASO VAL AVERTA;0;0;0;0;7;12;7;7;12;no;si;si;no;si;40;0;40;1;no;0;0;no;;no;34;34;16;4
87;357;21/03/2002;GUELLA GABRIELE;no;38062;Arco;Via Grande Circonvallazione n. 2;151741/96;0464;519640;no;no;ALFIUME@PEC.TROVARTI.IT;;91;;;Arco;Via Grande Circonvallazione n. 2;AGRITUR AL FIUME;5;8;26;6;0;0;0;8;26;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;20;12;2;2
88;358;28/03/2002;SIMONI FERRUCCIO;no;38030;Giovo - fraz. Palu';P.zza degli Alpini n. 14;162783/98;0461;684381;no;no;SIMONI.FERRUCCIO@PEC.IT;;496;;;Giovo;P.zza degli Alpini n. 13 - Palu';SIMONI;0;0;0;0;3;5;3;3;5;no;si;si;no;si;28;0;28;1;no;0;0;no;;no;33;26;11;3
89;359;24/04/2002;BRIGHENTI LINO;no;38062;Arco;Loc. Maso Giare n. 6;145835/96;0335;5945728;no;no;BRIGHENTILINO@PECANCIT.IT;;120;;;Dro;Loc. Lizzone;MASO LIZZONE;1;2;3;1;5;9;5;7;12;si;si;si;no;no;0;0;0;0;si;7;28;no;;no;31;28;10;3
90;360;29/04/2002;BRESCIANI MARIO;no;38062;Arco;Via Fornaci n. 27 - fraz. Romarzollo;165962/99;0464;518127;no;no;mario.bresciani@pec.agritel.it;;91;;;Arco;Via Fornaci n. 27 - fraz. Romarzollo;BRESCIANI;5;7;12;5;0;0;0;7;12;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;25;18;5;2
91;361;29/05/2002;CANTONATI DINO;no;38080;Villa Rendena;Loc. Borceniga n. 195 - fraz. Javrè;21022/97;****;333/6457100;no;no;CANTONATIDINO@PEC.IT;;608;;;Villa Rendena;Loc. Borceniga n. 195 - fraz. Javrè;MASO TESADRI;7;14;21;7;0;0;0;14;21;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;31;31;11;3
92;362;18/06/2002;MARINELLI FERRUCCIO;no;38010;Sanzeno;fr. Banco n. 80;61778/97;0463;434291;no;no;ferruccio.marinelli@pec.agritel.it;;700;;;Sanzeno;fr. Banco n. 80;MARINELLI;3;5;13;3;0;0;0;5;13;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;0;0;0;
93;365;21/06/2002;"SOCIETA' SEMPLICE ""GESTIONE STRUTTURE D'ALPEGGIO""";no;38020;PELLIZZANO;P.zza S. Maria n. 9;"SOCIETA' SEMPLICE ""GESTIONE STRUTTURE D'ALPEGGIO""";0463;751552-338-6078681;si;si;LONARDIMARCELLOSRL@PEC.IT;;1250;;;PELLIZZANO;LOC. FAZZON;MALGA BASSA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;60;15;75;1;no;0;0;no;;no;25;30;15;4
94;366;28/06/2002;PERLOT FRANCESCO;no;38010;Fai d/Paganella;Via Carmelo n. 1;174034/01;0461;583063;no;no;PERLOT.FRANCESCO@CIA.LEGALMAIL.IT;;958;;;Fai d/Paganella;Via Carmelo n. 1;DA VALENTINO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;1;no;0;0;no;;no;0;0;0;
95;372;09/08/2002;MENDINI CARLA;no;38010;Ton;Via G. Verdi n. 16 - Fraz. Toss;3796/00;0461;657688;no;no;MENDINI.CARLA@PEC.GOLDENPAUSE.IT;;475;;;Ton;Via G. Verdi n. 16 - fraz. Toss;GOLDEN PAUSE;2;2;4;2;9;18;9;11;22;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;36;25;15;4
96;374;27/08/2002;Az. Agricola Troiani di Troiani Andrea e Sabrina - S. S. Agricola;no;38061;Ala;Via Contr.Sdruzzinà n. 20 ;187308;0464;672825;si;no;AZIENDAAGRICOLATROIANI@PEC.COLDIRETTI.IT;;160;;;Ala;Contrada Sdruzzina' 20;AL PICCHIO;0;0;0;0;10;20;10;10;20;no;si;si;no;si;50;0;50;2;no;0;0;no;;si;37;26;11;3
97;375;19/09/2002;BRUNEL PAOLO;no;38030;Soraga;Via Barbide n. 17/A;177479 REA;0462;768377-3200869681;no;no;paolo.brunel@pec.agritel.it;;1210;;;Soraga;Via Barbide n. 10;BRUNEL PAOLO;1;2;5;1;0;0;0;2;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;17;12;2;2
98;376;15/11/2002;BATTISTI RINA;si;38050;Palu' d/Fersina;Via Battisti;148725/96 REA;0338;9591987;no;no;SCALZERHOF@PEC.IT;;1540;;;Palu' d/Fersina;Via Frotten n. 108;SCALZERHOF;0;0;0;0;6;10;6;6;10;no;si;si;no;si;40;0;40;1;no;0;0;no;;no;28;22;10;2
99;378;23/12/2002;CLAUSER BRUNO;no;38020;Cloz;P.zza B. Franch n. 11;149231/96 REA;0463;874107-333/3655523;no;no;bruno.clauser@pec.agritel.it;;890;;;Cloz;Maso Tafol;MASO TAFOL;1;1;4;1;6;12;6;7;16;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;29;15;10;2
100;379;23/12/2002;GIRONIMI ANDREA;no;38028;Revo';Via dei Maurini Alti n. 1;152000/96;0463;432537;no;no;andrea.gironimi@pec.agritel.it;;724;;;Revò;Via dei Maurini Alti n. 1;GIRONIMI ANDREA;1;2;3;1;0;0;0;2;3;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;8;3;2
101;380;23/12/2002;CHINI CLAUDIO;no;38010;Vervo';Via Cogol n. 3;148954/96;0463;463189;no;no;claudio.chini@pec.agritel.it;;885;;;Vervo';Via Cogol n. 3;AGRITUR CHINI;2;4;10;2;0;0;0;4;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;18;10;8;2
102;381;13/02/2003;BONGIOVANNI LEONARDO;no;38060;Brentonico;Loc. Mortigola n. 4;177955/02;0464;391555;no;si;leonardo.bongiovanni1973@pec.agritel.it;;1200;;;Brentonico;Loc. Mortigola n. 30;MALGA MORTIGOLA;0;0;0;0;9;15;9;9;15;no;si;si;no;no;0;0;0;0;si;5;20;si;;si;36;46;14;3
103;384;07/04/2003;MICHELOTTI GIANCARLO;no;38062;Arco;Via Soccesure n. 2;175843/02 REA;0464;516272;no;no;no pec;agriturmichelotti@tin.it ;90;;;Arco;Via Soccesure n. 2;AGRITUR MICHELOTTI GIANCARLO;6;9;18;6;2;3;1;11;21;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;11;11;14;2
104;385;23/05/2003;BEBBER FABIO;no;38017;Mezzolombardo;Via Carlo Devigili n. 29;868/97;0461;604426;no;no;fabio.bebber@pec.agritel.it;;229;;;Mezzolombardo;Via Carlo Devigili n. 29;CORTE DELLE RONDINI;0;0;0;0;5;9;5;5;9;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;36;26;17;4
105;386;10/06/2003;AZIENDA AGRICOLA LA NEGRITELLA DI DEFRANCESCO LODOVICO E DEFRANCESCO LUIGI;no;38035;MOENA;Loc. Alochet n. 7;175671;0462;573020;si;si;LANEGRITELLA@PEC.COLDIRETTI.IT;;1184;;;MOENA;Località San Pellegrino;MALGA SAN PELLEGRINO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;22;38;60;1;no;0;0;no;;no;16;24;6;2
106;387;04/07/2003;BRENTARI ANGELO;no;38010;Smarano;Viale Merlonga n. 11;8303/97;0463;536815;no;no;angelo.brentari@pec.agritel.it;info@agriturcristina.com;985;;;Smarano;Viale Merlonga n. 11;AGRITUR CRISTINA;3;5;15;4;3;6;3;8;21;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;25;15;4
107;388;09/07/2003;MENAPACE GIOVANNI;no;38010;Tassullo;Via di Campo n. 12;169148/00 REA;****;*****;no;no;giovanni.menapace@pec.agritel.it;;546;;;Tassullo;Via di Campo n. 12;AGRITUR RENETTA;1;2;4;1;13;26;13;15;30;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;26;17;4
108;390;04/08/2003;BONGIOVANNI MARCO;no;38060;Brentonico;Loc. Mortigola n. 4;180137;0464;391555;no;si;marco.bongiovanni1978@pec.agritel.it;;1200;;;Brentonico;Loc. Mortigola n. 4;MALGA MORTIGOLA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;60;0;60;1;no;0;0;no;;si;24;11;7;2
109;391;07/08/2003;NARDON TULLIO;no;38034;Cembra;Via G. Calovi n. 41;145906/96;0461;683785;no;no;NARDON@TICERTIFICA.IT;;667;;;Cembra;Loc. Val Fraia;AGRITUR MASO VAL FRAIA;1;2;4;1;5;9;5;7;13;si;si;no;no;no;0;0;0;0;no;0;0;no;;si;36;21;10;2
110;392;14/08/2003;"SOCIETA' SEMPLICE ""AZIENDA AGRICOLA AL CASTELLO di Covi Alessandro, Fabio e Vittorino""";no;38013;FONDO;Fraz. Vasio n. 49;162673 REA;0335;7560904;si;si;AZIENDAAGRICOLAALCASTELLO@PEC.CONFAGRICOLTURATN.IT;;987;;;FONDO;Loc. Malga;MALGA DI FONDO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;15;35;1;no;0;0;no;;no;;;;
111;393;04/12/2003;TISI STEFANO;no;38086;Pinzolo;Via Manci n. 8;173669/01;0338;5008438;no;no;stefano.tisi@pec.agritel.it;;770;;;Giustino;Via Al Pont n. 4;AGRITUR CASA AL CAMPO;0;0;0;0;8;14;8;8;14;no;si;si;no;si;30;0;30;1;no;0;0;no;;no;42;32;20;5
112;394;23/12/2003;"AZIENDA AGRICOLA ""F.LLI FRANCH DI FRANCH BENIAMINO E GIANNI S.S.""";no;38030;Giovo;Loc. Maso Pomarolli n. 10;178071 REA;0461;684570;si;no;FRATELLIFRANCH@PEC.CONFAGRICOLTURATN.IT;;630;;;GIOVO;Loc. Maso Pomarolli n. 10;MASO POMAROLLI;0;0;0;0;8;15;8;8;15;no;si;si;no;si;15;0;15;1;no;0;0;si;;si;31;27;15;4
113;395;24/12/2003;ANDREOLLI VASCO;no;38060;Brentonico;Loc. Le Robie;180505/03;0349;2427952;no;no;vasco.andreolli@pec.agritel.it;;692;;;Brentonico;Loc. Le Robie;LE ROBIE;0;0;0;0;4;6;2;4;6;no;si;si;no;no;0;0;0;0;no;0;0;si;ippoturismo;no;28;8;3;2
114;399;25/03/2004;PEDERZOLLI DIEGO;no;38075;Fiavè;Loc. Cornelle n. 3;131883/92;0333;3880865;no;no;DIEGO.PEDERZOLLI@CIA.LEGALMAIL.IT;;669;;;Bleggio Superiore;Via Al Canal 1;MASO ALLE ROSE;0;0;0;0;6;18;6;6;18;no;si;si;no;si;38;0;38;1;no;0;0;si;;si;34;35;15;4
115;400;09/02/2004;ABRAM GIANCARLO;no;38010;Ronzone;Via Mendola n. 73;174953/01;0463;880575;no;no;GIANCARLO.ABRAM@PEC.IT;;1084;;;Ronzone;Via Mendola n. 75;CASA MIRAMONTE;1;5;7;1;0;0;0;5;7;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;8;0;0;
116;401;18/05/2004;SANDRI LUIGI;no;38050;Villa Agnedo;Via delle Margere n. 45/A;156442;0461;782043;no;no;SANDRI@PEC.CONFAGRICOLTURATN.IT;;356;;;Villa Agnedo;Loc. Mesole n. 15;PRA' DEI PEZI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;60;0;60;2;no;0;0;no;;si;23;25;10;3
117;402;11/05/2004;RIGACCI ANGELO;no;38080;Bondone;Via Giusti n. 12;155661;0329;8266458;no;no;angelo.rigacci@pec.agritel.it;;720;;;Bondone;Via Giusti n. 10;LA CONTADINA;1;3;4;1;0;0;0;3;4;si;no;no;no;no;0;0;0;0;no;0;0;si;;si;25;30;8;2
118;403;06/05/2004;DONATI RENATA;no;38077;Comano Terme;Fraz. Cares n. 116;114511;0465;702380;no;no;DUCHIDONATI@PEC.IT;;523;;;Comano Terme;fraz. Bono;CASA DONATI;1;3;3;2;2;3;2;5;6;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;24;9;3;2
119;404;15/06/2004;FUMANELLI ORNELLA;no;38063;Avio;loc. Erta n. 2 - Sabbionara;15034;0464;684061;no;no;no pec;;230;;;Avio;loc. Erta n. 2 - Sabbionara;FUMANELLI ORNELLA;3;8;8;3;3;6;3;11;14;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
120;405;12/05/2004;TONIATTI  M. GRAZIA;no;38083;Condino;Via Mon , 8;180023;0465;621965;no;no;casaessenia@pec.agritel.it;;0;;;Condino;Via Mon, 8;CASA ESSENIA;0;0;0;0;5;8;2;5;8;no;si;si;si;no;0;0;0;0;no;0;0;si;;si;32;25;13;3
121;408;28/07/2004;MENGHINI WALTER;no;38021;Brez;Via B. de Menghin, 58/B;174594;0463;874399;no;no;walter.menghini@cia.legalmail.it;;0;;;Brez;Loc. Traversara, 8;LA CANONICA;2;2;4;2;3;8;3;5;12;si;si;no;no;no;0;0;0;0;no;0;0;no;;si;34;26;15;4
122;410;28/07/2004;NICOLUSSI ALBERTO;no;38070;Terlago;Via Defant;175090;0461;861119;no;no;NICOLUSSISNC@PEC.IT;;456;;;Terlago;Strada dei Laghi di Lamar;LE VALLENE;1;1;3;1;5;12;5;6;15;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;35;25;15;4
123;411;02/08/2004;FANTELLI LUCIANO;no;38025;Dimaro;Via Campiglio 108;146954;0463;974994;no;no;FLORFAN@PEC.IT;;766;;;Dimaro;Via S. Valenti n. 45;FANTELLI LUCIANO;3;5;8;3;0;0;0;5;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;20;6;6;2
124;412;02/09/2004;MARIGO AMELIO;si;38046;Lavarone;Via Azzolini n. 4;163199;0464;783315;no;no;amelio.marigo@pec.agritel.it;;1171;;;Lavarone;Via Tobia n. 4 ;MUSEO DEL MIELE;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;16;12;10;2
125;414;30/12/2004;SCARIAN CHIARA;si;38033;Cavalese;Via Revignana, n. 12;132816;0462;342211;no;no;INFO@PEC.AGRITURPERLAIE.IT;;0;;;Cavalese;Loc. Perlaie via Dolomiti 5;PERLAIE;3;7;11;4;0;0;0;7;11;si;no;no;no;no;0;0;0;0;si;7;28;no;;no;32;14;9;2
126;415;15/12/2004;POLLA MAURO;si;38080;Caderzone;Loc. Pan;172564;0465;804500;no;no;mauro.polla@pec.agritel.it;;0;;;Caderzone;Loc. Pan;AGRITUR MASO PAN;0;0;0;0;6;18;6;6;18;no;si;si;no;si;40;15;55;0;no;0;0;no;;si;33;40;15;4
127;417;21/01/2005;NICOLINI MIRIAM;no;38080;Daone;Via D. Alighieri 3;174720;0465;674393;no;no;MANONCIN@PEC.IT;info@agriturmanoncin.it;0;;;Daone;Loc. Manoncin;AGRITUR MANONCIN;0;0;0;0;3;6;3;3;6;no;si;si;no;no;0;0;0;0;no;0;0;si;;no;31;15;11;2
128;419;29/10/2004;DE VIGILI PAOLO;no;38016;Mezzocorona;Via C. Battisti n. 70;180323;0461;605637;no;no;paolo.devigili@pec.agritel.it;;0;;;Mezzocorona;Via C. Battisti n. 70;AGRITUR MASO OLIVA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;0;20;0;no;0;0;no;;si;8;22;5;2
129;420;17/03/2005;ZADRA CARLO;no;38010;Tres;Via Tavana n,12;105882;0463;468241;no;no;carlo.zadra@pec.agritel.it;;0;;;Tres;Via Tavana n.16;ZADRA CARLO;2;2;4;0;0;0;0;2;4;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;16;10;13;2
130;421;10/01/2005;PIONER FRANCO;no;38050;Ronchi Valsugana;Via Marchi n.15;175889;0461;764217;no;no;PEC.CLIENTI@ACLITRENTINE.LEGALMAIL.IT;;0;;;Ronchi Valsugana;Via Marchi, n. 15;AZ.AGR. PIONER FRANCO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;no;0;12;4;1
131;422;10/02/2005;INAMA MARIA LUISA;no;38010;Coredo;Via Apena n.3;184748;0463;536296;no;no;no pec;;0;;;Coredo;Via Apena n.3;AGRITUR CASA MIRAMONTI;2;3;5;0;0;0;0;3;5;si;no;si;no;no;0;0;0;0;no;0;0;no;;no;10;12;7;2
132;425;26/05/2005;LENZI FRANCESCO;no;38050;Samone;Via Nuova Inferiore 12/A;186482;0461;763561;no;si;francesco.lenzi@pec.agritel.it;;0;;;Scurelle;Loc. Caserina di Dentro;MALGA CASERINA DI DENTRO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;36;24;60;0;no;0;0;no;;si;19;28;6;2
133;427;27/04/2005;TAMANINI GIUSEPPE;no;38060;Mattarello ;Via Della Decima n.30;156953;0461;944121;no;no;POSTA@PEC.LADECIMA.NET;;200;;;Trento;Loc.Mattarello - Decima n.26;AGRITUR ALLA DECIMA;5;6;21;5;2;5;2;8;26;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;29;10;3
134;429;09/05/2005;CAMPEDELLI LORENZO;no;38065;Mori;Via Brigata Acqui n.34;185168;0464;918868;no;no;LORENZOCAMPEDELLI@PEC.IT;;1000;;;Ronzo Chienis;Loc. S. Barbara;L'ABETE ROSSO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;ippoterapia;no;3;8;4;1
135;430;27/05/2005;PATUZZI MARZIO;no;38060;Isera;Patone - Località Alla Giura 1;155488;0000;3497326990;no;no;marzio.patuzzi@cia.legalmail.it;agriturismoilgallo@libero.it;200;;;Isera;Patone Loc. Alla Giura 1;IL GALLO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;0;no;0;0;no;;no;26;33;16;4
136;431;09/06/2005;de PODA ANTONIO;no;38010;Flavon;Via Nazionale n. 64;150678;0461;652067;no;no;antonio.depoda@pec.agritel.it;;400;;;Flavon;Via Nazionale n. 62;AGRITUR de PODA;4;8;20;4;0;0;0;8;20;si;no;no;no;no;0;0;0;0;no;0;0;si;;no;26;15;5;2
137;432;09/05/2005;BENINI TIZIANO;no;38123;Trento;Loc.Candriai n. 2;145697;0461;947526;no;si;tiziano.benini@pec.agritel.it;;700;;;Trento;Strada di Candriai n. 4;AGRITUR MALGA CANDRIAI;0;0;0;0;6;12;3;6;12;no;si;si;no;si;30;0;30;0;no;0;0;si;;si;33;35;10;3
138;436;26/05/2005;TOMASELLI EDDY;si;38059;Strigno;Loc. Lupi;168681;0461;763030;no;no;ranchdeilupi@pec.agritel.it;;200;;;Strigno;Loc. Lupi - Castrozze;RANCH DEI LUPI;3;4;6;3;3;6;3;7;12;si;si;si;no;si;30;0;30;1;no;0;0;no;;si;37;30;15;4
139;437;24/08/2005;BAITELLA BRUNO;no;38050;Novaledo;Via Prima Paludi, n. 14;148627;0461;721421;no;no;bruno.baitella@pec.agritel.it;;0;;;Novaledo;Via Prima Paludi, n. 14;AGRITUR BAITELLA BRUNO;0;0;0;0;2;4;2;2;4;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;18;5;4;2
140;438;11/07/2005;DALPIAZ LORENZO;no;38010;Tassullo;Fraz.Campo;162703;0339;6856483;no;no;agriturcasamela@pec.it;;400;;;Taio;Loc.Tovare n.16;CASA MELA;1;2;2;1;7;12;7;9;14;si;si;si;no;si;25;0;25;1;no;0;0;no;;si;37;19;12;3
141;440;02/08/2005;IORIATTI TARCISIO;no;38042;Baselga di Pinè;Sternigo al Lago n.87;86303;0340;8619298;no;no;IORIATTI.TARCISIO@CIA.LEGALMAIL.IT;info@lacasullago.it;800;;;Baselga di Pinè;Sternigo al Lago n.87;LA CA' SUL LAGO;5;5;15;5;0;0;0;5;15;si;no;si;no;no;0;0;0;0;no;0;0;no;;si;33;28;16;4
142;443;05/10/2005;GIOVANELLI VIGILIO;no;38080;Storo;Via Garibaldi n. 190;172941;0465;686128;no;no;GIOVANELLIVIGILIO@SICUREZZAPOSTALE.IT;;0;;;Daone;Loc. Limes;AGRITUR LIMES;1;3;3;1;0;0;0;3;3;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;4;6;2
143;444;12/10/2005;ZANDONAI ANDREA;no;38060;Villa Lagarina;Loc. Cesuino 2/b;158130;0464;419035;no;no;andrea.zandonai@pec.agritel.it;;0;;;Villa Lagarina;Via Cesuino, n. 2/A;LE PERGOLE;0;0;0;0;10;22;10;10;22;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;24;13;7;2
144;446;10/11/2005;DALPIAZ ENRICO;no;38016;Mezzocorona;Via 4 Novembre, 32;150449;0461;605242;no;no;ENRICO.DALPIAZ@PEC.IT;;0;;;Mezzocorona;Via 4 Novembre, n. 32;AGRITUR SOLE BLU;4;4;14;4;7;11;;25;25;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;30;25;15;3
145;447;07/12/2005;BANAL DIEGO;no;38100;Gardolo di Trento;Loc. Roncafort n. 78;147762;0349;5530601;no;no;DIEGOBANAL@PEC.CONFAGRICOLTURATN.IT;;0;;;Trento;Gardolo Loc. Roncafort, n. 78/A;AGRITUR VAL D'ADIGE;0;0;0;0;8;21;8;7;21;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;28;25;10;3
146;448;21/12/2005;SUISSA DAVID;no;38060;Isera;Via Carpenè, n. 1;168973;0335;5926227;no;no;david.suissa@pec.agritel.it;;0;;;Isera;Via Carpenè n. 1;MASO CARPENE';0;0;0;0;6;13;6;6;13;no;si;si;no;no;30;0;30;1;no;0;0;no;;si;32;34;11;3
147;449;13/12/2005;BISOFFI MARCO;no;38065;Mori;Loc. Talpina, n. 3;128448;0464;918532;no;no;BISOFFI.TALPINA@PEC.CONFAGRICOLTURATN.IT;;0;;;Mori;Loc. Talpina, n. 3;MASO TALPINA;4;8;12;4;0;0;0;12;12;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;25;20;6;2
